state,year,epi_week,rainfall_mm,rainfall_lag8_mm,rainfall_lta_mm,rainfall_anomaly_pct
Abia,1987,1,4.451613,41.35322731875,5.7890325,87.6039
Abia,1987,2,3.348387,28.762097693749997,5.5174193,79.376755
Abia,1987,4,3.548387,18.145161693749998,10.415699,55.452477
Abia,1987,5,12.980645,15.003226318749999,12.084731,105.243935
Abia,1987,7,50.92903,13.76532306875,15.216129,276.6555
Abia,1987,8,22.032259,10.14354806875,17.004732,122.84749
Abia,1987,9,28.045162,12.63548369375,30.776129,92.3665
Abia,1987,11,21.664516,16.026612812499998,36.829464,63.745777
Abia,1987,12,69.67742,18.374999875,44.33871,151.35664
Abia,1987,14,33.135483,26.528225749999997,53.735912,64.92703
Abia,1987,15,48.696774,30.25161275,61.00839,81.348404
Abia,1987,17,16.012903,35.895161125,56.888386,33.952904
Abia,1987,18,47.316128,36.274193375,82.929245,59.497982
Abia,1987,20,72.23871,35.822580625,82.15914,88.61802
Abia,1987,21,79.03226,42.098387,94.044945,84.84255
Abia,1987,23,38.76129,48.471774249999996,109.787094,38.12388
Abia,1987,24,142.2129,50.608871,104.51398,134.42386
Abia,1987,25,71.03871,59.675806,104.40537,69.50181
Abia,1987,27,96.84516,64.413709375,132.72343,73.94904
Abia,1987,28,121.66451,70.432257625,127.95269,95.27036
Abia,1987,30,103.77419,83.6387085,133.24474,78.68234
Abia,1987,31,138.26451,90.69596625,101.247955,134.83978
Abia,1987,33,152.07742,98.94919125000001,103.59075,144.65083
Abia,1987,34,196.00645,108.07983625,123.17506,156.82182
Abia,1987,36,116.787094,127.73548125,105.83957,109.87691
Abia,1987,37,161.67741,124.5572555,110.082794,144.83261
Abia,1987,39,81.47097,135.887093,118.14301,70.219955
Abia,1987,40,114.65161,133.96531925,87.55097,129.28186
Abia,1987,41,68.74839,133.08870675,93.42021,74.93216
Abia,1987,43,76.13548,128.71048175,106.78473,72.5819
Abia,1987,44,30.154839,120.944353,40.66301,76.987564
